GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001260012 441040               BANDITAS BAND-AID TOY STORY BIL 25 UN                                  BAND-AID                       BAND AID BRAND ADHESIVE BANDAG 7891010938840     24 N     20180402T1445  A      
7737001260012 7569821              OB TAMP MEDIO HELIX 40X10                                              OB                             SANPRO INTERNAL                7891010010546     40 N     20121012T1232  A      
7737001260012 7569824              OB TAMPONES SUPER HELIX 40X10                                          OB                             SANPRO INTERNAL                7891010010577     40 N     20121012T1232  A      
7737001260012 7569844              C&C ASTRING PTO NEGR 12X200ML                                          CLEAN & CLEAR                  BEAUTY                         7891010011048     12 N     20080516T0955  A      
7737001260012 7570093              SUND® GEL POS-SOL 12X130 GR                                            SUNDOWN                        SUNCARE                        7891010033415     12 N     20080930T1228  A      
7737001260012 7570094              SUND GOLD OLEO BRONZ FPS4 12X125ML                                     SUNDOWN                        SUNCARE                        7891010505141     12 N     20091019T1319  A      
7737001260012 7570097              SUND GOLD LOC MOD SOLAR FPS8 12X120ML                                  SUNDOWN                        SUNCARE                        7891010505134     12 N     20121012T1232  A      
7737001260012 7570107              SUND KIDS BLOQ SOL FPS60 12X120 ML - EX                                SUNDOWN                        SUNCARE                        7891010026264     12 N     20121012T1232  A      
7737001260012 7570348              SUND KIDS BLOQ SOL FPS60 12X120 ML - EX                                SUNDOWN                        BEAUTY                         7891010026264     12 N     20131121T1634  A      
7737001260012 7571350              COTONETES* CANNISTER 30X150'S                                          JOHNSON'S BABY                 COTTON SWABS                   7891010032937     30 N     20110120T1638  A      
7737001260012 7571754              REACH* CEP ESSENTIAL MEDIOX12                                          JOHNSON'S                      ORAL TOOTHBRUSHES              7891010501211     12 N     20080516T0955  A      
7737001260012 7577562              ESC REACH ONE ULTIMATE CLEAN 12UN                                      JOHNSON'S                      ORAL TOOTHBRUSHES              7891010775629     12 N     20080516T0955  A      
7737001260012 7577781              HASTES COTONETES 30X150 PR L150P100 EXP                                JOHNSON'S BABY                 COTTON SWABS                   7891010039110     30 N     20080516T0955  A      
7737001260012 7577898              CF BRISA SIN PERFUME OFERT 12X150                                      CAREFREE                       SANPRO INTERMENSTRUAL          7702031503361     12 N     20110120T1638  A      
7737001260012 7578198              K-Y GEL LUBRICANTE 12X100G                                             K-Y                            K-Y WOMEN HEALTH               7891010005047     12 N     20080516T0955  A      
7737001260012 7578395              REACH* HILO ESSENTIAL 24X100                                           JOHNSON'S                      ORAL FLOSS                     7891010501105     24 N     20110120T1602  A      
7737001260012 7578558              PROT CAREF ORIG C/PERF E-ECON 20X60UN                                  CAREFREE                       SANPRO INTERMENSTRUAL          7891010785581     20 N     20110601T1655  A      
7737001260012 7594207              S.LIBRE ALAS DRY MAX 36X8                                              SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010890557     48 N     20121012T1232  A      
7737001260012 7600738              ESC J&J REACH ACCESS GR DR 12 UN EXP                                   REACH                          ORAL CARE                      7891010038670     12 N     20121012T1232  A      
7737001260012 7608601              JB SHAMPOO ORIGIN DISP 6X24X10                                         JOHNSON'S BABY                 BABY TOILETRIES                7750021585927      6 N     20100330T1719  A      
7737001260012 7702700              NEU ALCOH FREE TONER 12X250ML                                          NEUTROGENA                     BEAUTY                           70501027004     12 N     20080516T0955  A      
7737001260012 7702810              NEU FRESH FOAM CLEAN 12X200ML                                          NEUTROGENA                     BEAUTY                           70501028100     12 N     20080516T0955  A      
7737001260012 7706120              NEU H. SK ANTIW SPF15 12X1.4OZ                                         NEUTROGENA                     BEAUTY                           70501061206     12 N     20080516T0955  A      
7737001260012 78430                TOALHINHAS UME J'S BB HOR SON 12X96UN                                  JOHNSON´S BABY                 BABY CARE                      7891010589622     12 N     20161114T1117  A      
7737001260012 78829                SPLENDA TABLETAS 12X300                                                SPLENDA                        SPLENDA                        7891010040598     12 N     20080516T0955  A      
7737001260012 78830                SPLENDA TABLETAS  12X100                                               SPLENDA                        SPLENDA                        7891010040512     12 N     20080516T0955  A      
7737001260012 79015                BAND-AID* VAR 5 SHAPES 24X40'S                                         BAND AID                       FIRST AID                      7891010504700     24 N     20090403T1611  A      
7737001260012 79026                CURATIVO B-AID TRANSP 126X10UN BILING                                  BAND AID                       FIRST AID                      7891010504779    126 N     20090311T1556  A      
7737001260012 79035                BAND AID TRANSPARENTE LL40 P30                                         BAND AID                       FIRST AID                      7891010505448     72 N     20090311T1556  A      
7737001260012 79241                SERENA S/ALAS SOB.IND.30X16                                            SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010003193     30 N     20080516T0955  A      
7737001260012 79326                FIO DENTAL CLEAN PASTE ORIGINAL 24X40M                                 JOHNSON'S                      ORAL FLOSS                     7891010793265     24 N     20080516T0955  A      
7737001260012 79328                FIO DENTAL CLEAN PASTE WHITENING 24X40M                                REACH                          CHC                            7891010793289     24 N     20120124T1621  A      
7737001260012 79533                CAREFREE BAÑO LIQUIDO INTIMO 12X150ML                                  CAREFREE                       SANPRO INTERMENSTRUAL          7891010714802     12 N     20080516T0955  A      
7737001260012 79555                CREMA DULCES SUEÑOS 6X190GR                                            JOHNSON'S BABY                 BABY TOILETRIES                7790010007450     12 N     20110120T1602  A      
7737001260012 79971                SPLENDA GRANULAR 110 GRS. "20 % DTO."                                  SPLENDA                        SPLENDA                        7730198004032      5 N     20131210T1153  A      
7737001260012 8.00102e+006         SPLENDA* GRANULAR 12X110GR SP                                          SPLENDA                        SPLENDA                         722776020043     12 N     20161114T1117  A      
7737001260012 8.00623e+006         NEU HEALTHY SKIN FPS15 3X73ML                                          NEUTROGENA                     BEAUTY                           70501062302      3 N     20161114T1117  A      
7737001260012 8.08102e+006         NEU JABON FAC. ORIG. 24X100GR                                          NEUTROGENA                     BEAUTY                           70501010105     24 N     20161114T1117  A      
7737001260012 8.30313e+006         DESITIN X 28 GRS                                                       DESITIN                        OTC OTHER CATEGORIES             74300000701     10 N     20161114T1117  A      
7737001260012 80005                PROTECTORES MAMARIOS LLEVE 12 PAGUE 10                                 OFERTAS                        BABY TOILETRIES                7730198004056     12 N     20080930T1228  A      
7737001260012 8001024              SPLENDA* GRANULAR 12X110GR SP                                          SPLENDA                        SPLENDA                         722776020043     12 N     20080516T0955  A      
7737001260012 80060                NEU BUILD-A-TAN SUNLESS TANNING                                        NEUTROGENA                     BEAUTY                           86800871606     12 N     20080516T0955  A      
7737001260012 8006230              NEU HEALTHY SKIN FPS15 3X73ML                                          NEUTROGENA                     BEAUTY                           70501062302      3 N     20080516T0955  A      
7737001260012 80192                SUNDOWN FPS30 X 200ML + LABIAL                                         SUNDOWN                        SUNCARE                        7730198004155     10 N     20080516T0955  A      
7737001260012 80193                SUNDOWN FPS50 X 200ML + LABIAL                                         SUNDOWN                        SUNCARE                        7730198004162     10 N     20080930T1228  A      
7737001260012 80227                JB TALCO MANZAN 24X200G                                                JOHNSON'S BABY                 BABY TOILETRIES                7891010036478     12 N     20091113T1322  A      
7737001260012 80459                J'S BABY COND MOISTURIZER 12X200ML EXP                                 JOHNSON'S BABY                 BABY TOILETRIES                7891010804589     12 N     20110120T1638  A      
7737001260012 80461                J'S BABY SHAMP MOISTURIZER 12X200ML EXP                                JOHNSON'S BABY                 BABY TOILETRIES                7891010804602     12 N     20090313T1930  A      
7737001260012 80463                J'S B CR PENTEAR MOISTURIZ 12X150ML EXP                                JOHNSON'S BABY                 BABY TOILETRIES                7891010804626     12 N     20090313T1930  A      
7737001260012 80530                NEUT LOC FAC OIL FREE P MIS/OLE 6X50ML                                 NEUTROGENA                     BEAUTY                         7891010805302      6 N     20080516T0955  A      
7737001260012 80542                NEUT LOCAO FACIAL OIL FREE FPS15 6X50ML                                NEUTROGENA                     BEAUTY                         7891010805425      6 N     20080516T0955  A      
7737001260012 80623                SL U FINOS ABA SV PULP FILLED 48X8UN EXP                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010005832     48 N     20160223T1907  A      
7737001260012 80726                SPLENDA GRANULAR 12X55 GR                                              SPLENDA                        SPLENDA                         722776020036     12 N     20080930T1228  A      
7737001260012 8081015              NEU JABON FAC. ORIG. 24X100GR                                          NEUTROGENA                     BEAUTY                           70501010105     24 N     20080516T0955  A      
7737001260012 81263                NTG SUN FRESH FPS30 BODY 6X120ML                                       NEUTROGENA                     BEAUTY                         7891010510978      6 N     20161021T1608  A      
7737001260012 81264                NTG PROT SOL SUN FRESH FPS 30 CUER 200ML                               NEUTROGENA                     BEAUTY                         7891010514846      6 N     20161021T1608  A      
7737001260012 81421                NTG SUN FRESH FPS 50 BODY 6X120ML                                      NEUTROGENA                     BEAUTY                         7891010510985      6 N     20161021T1608  A      
7737001260012 81438                NEUT D CLEAN ESFOL ENERGIZ 6X100G BIL                                  NEUTROGENA                     BEAUTY                         7891010704490      6 N     20090420T1135  A      
7737001260012 81440                NEU DEEP CLEAN 6X150G                                                  NEUTROGENA                     BEAUTY                         7891010009250      6 N     20121012T1232  A      
7737001260012 81445                NEUT DEEP CLEAN ADSTRINGENTE 6X200 - EXP                               NEUTROGENA                     BEAUTY                           70501061954      6 N     20110916T1124  A      
7737001260012 81447                NEU DEEP MASC.LIMP.2EN1 6X100G                                         NEUTROGENA                     BEAUTY                         7891010690113      6 N     20140123T1601  A      
7737001260012 81551                NEUT D CLEAN ENERG TONICO 2EM1 6X200ML                                 NEUTROGENA                     BEAUTY                         7891010815516      6 N     20090130T1958  A      
7737001260012 81778                PINK GRAPEFRUIT FOAMING SCRUB 4.2OZ                                    NEUTROGENA                     NEUTROGENA FACE                  70501053607      6 N     20180219T1636  A      
7737001260012 82529                SUND PROTETOR SOLAR FPS15 12X120ML                                     SUNDOWN                        SUNCARE                        7891010033491     12 N     20091020T1143  A      
7737001260012 82530                SUND U-RESIST FPS20 12X120ML                                           SUNDOWN                        SUNCARE                        7891010033507     12 N     20091020T1143  A      
7737001260012 82698                PINK GRAPEFRUIT FACIAL CLEANSER 6OZ                                                                   BEAUTY                           70501053652      6 N     20160818T1122  A      
7737001260012 82762                SUNDOWN BLOQ F30 12X120ML                                              SUNDOWN                        SUNCARE                        7702031316602     12 N     20091020T1143  A      
7737001260012 82764                SUNDOWN BLQ FPS50 TIN 12X120ML                                         SUNDOWN                        SUNCARE                        7702031312277     12 N     20091020T1143  A      
7737001260012 82766                SUNDOWN* FPS-60 12X120ML                                               SUNDOWN                        SUNCARE                        7891010026844     12 N     20121012T1232  A      
7737001260012 8303125              DESITIN X 28 GRS                                                       DESITIN                        OTC OTHER CATEGORIES             74300000701     10 N     20080516T0955  A      
7737001260012 85303                PR ESC J'S PROF EXTREME MC L2P1 12UN                                   JOHNSON'S                      ORAL TOOTHBRUSHES              7891010853037     12 N     20080930T1228  A      
7737001260012 87149                CURATIVO B-AID BATMAN 24X20UN BIL                                      BAND AID                       FIRST AID                      7891010871499     24 N     20080930T1228  A      
7737001260012 87200                NEU DEEP CLEAN JABON 12X80G                                            NEUTROGENA                     BEAUTY                         7891010099725     20 N     20100105T0849  A      
7737001260012 87472                SUND PROT SOLAR EMB ECON FPS15 12X200EXP                               SUNDOWN                        BEAUTY                         7891010096472     12 N     20151029T1016  A      
7737001260012 87473                SUND  U-RESIST FPS30 EMB ECON 12X200ML                                 SUNDOWN                        BEAUTY                         7891010096496     12 N     20151029T1016  A      
7737001260012 87474                SUND® GEL POS-SOL 12X130 GR                                            SUNDOWN                        BEAUTY                         7891010033415     12 N     20151029T1016  A      
7737001260012 87475                NEUT SUN FRESH FPS 70 BODY 6X120ML                                     NEUTROGENA                     BEAUTY                         7891010591014      6 N     20151027T1248  A      
7737001260012 87476                NEUT SUN FRESH FPS 70 BODY 6X200ML                                     NEUTROGENA                     BEAUTY                         7891010591007      6 N     20151027T1248  A      
7737001260012 87477                NTG PROT SUN FRESH FPS 50 CORPO 6X200ML                                NEUTROGENA                     BEAUTY                         7891010591038      6 N     20151027T1248  A      
7737001260012 87572                SUNDOWN FACIAL FPS50 MAIS 12X50G                                       SUNDOWN                        BEAUTY                         7891010875725     12 N     20111122T0905  A      
7737001260012 87577                LISTERINE COOL 6 X 1LT                                                 LISTERINE                      CUIDADO ORAL                   7702035432506      6 N     20110901T0858  A      
7737001260012 87862                SUNDOWN SPRAY CONTINUO FPS15 12X15                                     SUNDOWN                        BEAUTY                         7891010878627     12 N     20110909T1224  A      
7737001260012 88046                O.B. MEDIO X 10 25% DTO CAJA: X 40 UM                                  OB                             SANPRO INTERMENSTRUAL          7730198004292     40 N     20080930T1153  A      
7737001260012 88048                O.B SUPER X 10 25% DTO CAJA: X 40 UM                                   OB                             SANPRO INTERMENSTRUAL          7730198004308     40 N     20080930T1153  A      
7737001260012 88082                PROT DIARIO CAREF BRISA S/ PERF 30X60UN                                CAREFREE                       SANPRO INTERMENSTRUAL          7891010785567     30 N     20090331T1046  A      
7737001260012 88159                LUBRIDERM C/P 36 X 200 ML                                              LUBRIDERM                      BEAUTY                         7702035435989     36 N     20120124T1621  A      
7737001260012 88160                LUBRIDERM C/P 24 X 400 ML                                              LUBRIDERM                      BEAUTY                         7702035456663     36 N     20120124T1621  A      
7737001260012 88283                CF TODOS LOS DÍAS FLEXI 24X25                                          CAREFREE                       ALL OTH WOMEN'S HEALTH CONSUME 7702031704256     24 N     20170814T1228  A      
7737001260012 88285                CF TODOS LOS DÍAS FLEXI 24X60                                          CAREFREE                       ALL OTH WOMEN'S HEALTH CONSUME 7702031704263     24 N     20170814T1228  A      
7737001260012 88459                REACH TOTAL CARE DENTAL FLOSS 24 X 40 M                                REACH                          CHC                            7891010884598     24 N     20120124T1621  A      
7737001260012 88558                NEUT SUN FRESH FPS 70 BODY 6X120ML                                     NEUTROGENA                     BEAUTY                         7891010591014      6 N     20161021T1608  A      
7737001260012 88636                NEUTR SUN FRESH AEROSOL FPS 50 180ML                                   NEUTROGENA                     BEAUTY                         7891010507152      6 N     20171010T1123  A      
7737001260012 88773                JB SHAMPOO EXTRA HUMEC 12X200                                          JOHNSON'S BABY                 BABY TOILETRIES                7702031878513     12 N     20160223T1907  A      
7737001260012 88792                LISTERINE ZERO CUIDADO TOTAL X 250 ML                                  LISTERINE                      ORAL CARE                      7702031887928     12 N     20160927T1220  A      
7737001260012 88794                LISTERINE ZERO CUIDADO TOTAL X 500ML                                   LISTERINE                      ORAL CARE                      7702031887942     12 N     20160927T1220  A      
7737001260012 88891                CAREFREE BRISA SP  60 X 20                                             CAREFREE                       SANPRO INTERMENSTRUAL          7790010888912     60 N     20090130T1958  A      
7737001260012 88892                CAREFREE BRISA CP 60 X 20                                              CAREFREE                       SANPRO INTERMENSTRUAL          7790010888929     60 N     20091113T1322  A      
7737001260012 88893                CAREFREE BRISA TANGA 30 X 20                                           CAREFREE                       SANPRO INTERMENSTRUAL          7790010888936     30 N     20100628T1247  A      
7737001260012 88894                CAREFREE LONGS 60 X 20                                                 CAREFREE                       SANPRO INTERMENSTRUAL          7790010888943     60 N     20090311T1556  A      
7737001260012 88895                CAREFREE ORIGINAL 60 X 20                                              CAREFREE                       SANPRO INTERMENSTRUAL          7790010888950     60 N     20101126T1836  A      
7737001260012 88896                CAREFREE ORIGINAL SP 60 X 20                                           CAREFREE                       SANPRO INTERMENSTRUAL          7790010888967     60 N     20090130T1958  A      
7737001260012 88897                CAREFREE COMPACT REG 60 X 20                                           CAREFREE                       SANPRO INTERMENSTRUAL          7790010888974     60 N     20110120T1602  A      
7737001260012 88898                CAREFREE COMPACT SP  60 X 20                                           CAREFREE                       SANPRO INTERMENSTRUAL          7790010888981     60 N     20090420T1135  A      
7737001260012 88900                CAREFREE COMPACT SP 30 X 40                                            CAREFREE                       SANPRO INTERMENSTRUAL          7790010889001     30 N     20110111T1154  A      
7737001260012 88901                CAREFREE BRISA SP  MAXIPACK 30 X 60                                    CAREFREE                       SANPRO INTERMENSTRUAL          7790010889018     30 N     20110916T1124  A      
7737001260012 88902                CAREFREE BRISA CP MAXIPACK 30 X 60                                     CAREFREE                       SANPRO INTERMENSTRUAL          7790010889025     30 N     20100727T1204  A      
7737001260012 88904                CAREFREE BRISA SP MAXIPACK 20 X 100                                    CAREFREE                       SANPRO INTERMENSTRUAL          7790010889049     20 N     20110120T1602  A      
7737001260012 88905                CAREFREE ORIGINAL MAXIPACK 30 X 60                                     CAREFREE                       SANPRO INTERMENSTRUAL          7790010889056     20 N     20110916T1124  A      
7737001260012 88906                CAREFREE ORIGINAL SP MAXIPACK  30 X 60                                 CAREFREE                       SANPRO INTERMENSTRUAL          7790010889063     30 N     20090130T1958  A      
7737001260012 89011                GEL A-PNEGR NTG RAP CLEAR FAC 15 G BIL                                 NEUTROGENA                     BEAUTY                         7891010890292      6 N     20170504T1254  A      
7737001260012 89029                NEUT RAPID CLEAR GEL 6X15GR                                            NEUTROGENA                     BEAUTY                         7891010890292      6 N     20120620T1641  A      
7737001260012 89055                S.LIBRE ALAS DRY MAX 36X8                                              SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010890557     36 N     20110111T1154  A      
7737001260012 89056                S.LIBRE ADAPT EA 48X8                                                  SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010890564     48 N     20100628T1247  A      
7737001260012 89057                S.LIBRE TANGA EA 36X8                                                  SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010890571     36 N     20090130T1958  A      
7737001260012 89059                SIEMPRE LIBRE TEENS C/AL.48X8                                          SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010890595     48 N     20090130T1958  A      
7737001260012 89061                S.LIBRE ADAPT C/ALAS EA EC. PACK 24X16                                 SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010890618     24 N     20100628T1247  A      
7737001260012 89062                SL ESPECIAL SIN ALAS 60X8                                              SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010890625     60 N     20100628T1247  A      
7737001260012 89063                SL ESPECIAL CON ALAS 60X8                                              SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010890632     60 N     20090311T1556  A      
7737001260012 89064                SL ESPECIAL CON ALAS 30X16                                             SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010890649     30 N     20100628T1247  A      
7737001260012 89095                ABS SL NOT ABAS DELIC SENS A NAT 24X8UN                                SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010890957     24 N     20121012T1232  A      
7737001260012 89096                ABS SL SLINEA ABA DRY MAX A NAT 48X8UN                                 SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010890964     48 N     20090709T1231  A      
7737001260012 89110                CURATIVO B-AID MENINAS SUP PODER 24X20UN                               BAND AID                       FIRST AID                      7891010891107     24 N     20100727T1204  A      
7737001260012 89121                ABS SL SLINEA ABA D SENS AGE NAT 24X16UN                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010891213     24 N     20091113T1322  A      
7737001260012 89122                ABS SL U FINOS ABA SV PULP FILLED 48X8UN                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010891220     48 N     20110120T1602  A      
7737001260012 89148                JB SHAMPOO MANZANILLA 12 X 750 ML                                      JOHNSON´S                      BABY TOILETRIES                7790010891486     12 N     20121012T1232  A      
7737001260012 89450                CALADRYL LOCION 48 X 100 ML                                            CALADRYL                       OTC OTHER CATEGORIES                77014542     48 N     20110203T1222  A      
7737001260012 89492                BAND AID SPIDER MAN 24X25                                              BAND AID                       FIRST AID                      7891010723811     24 N     20090311T1614  A      
7737001260012 89493                BAND-AID* HELLO KITTY 24X25'S                                          BAND AID                       FIRST AID                      7891010702137     24 N     20090424T1240  A      
7737001260012 89533                J'S SOFT LOCAO M PROLONGADA 12X200ML EXP                               SOFT LOTION                    BABY TOILETRIES                7891010895334     12 N     20091008T1230  A      
7737001260012 89676                JB TALCO MANZAN 24X200G                                                JOHNSON'S BABY                 BABY TOILETRIES                7891010036478     12 N     20110916T1124  A      
7737001260012 89680                ACEITE 12X100                                                          JOHNSON'S BABY                 BABY TOILETRIES                7790010007047     12 N     20110120T1602  A      
7737001260012 89681                ACEITE X 200 ML ( 79752 )                                              JOHNSON'S BABY                 BABY TOILETRIES                7790010007054     12 N     20110120T1602  A      
7737001260012 89760                JS TALCO BABY ANTES DE DORMIR 200G BIL                                 JOHNSON'S BABY                 BABY CARE                      7891010036478     24 N     20170814T1228  A      
7737001260012 90113                JB TALCO ORIG 24X200G                                                  JOHNSON'S BABY                 BABY TOILETRIES                7891010032241     24 N     20090320T1502  A      
7737001260012 90302                J'S BABY TOALLITAS HÚMED TOQ FRESCO BIL                                SKIN LOTION BABY WIPES         JOHNSON'S BABY                 7891010657536     12 N     20171204T1700  A      
7737001260012 90407                JABON EN BARRA MILK                                                    JOHNSON'S BABY                 BABY TOILETRIES                7891010099732     72 N     20091113T1322  A      
7737001260012 90408                J'S BABY SABONETE REGULAR 72X80G BIL                                   JOHNSON'S BABY                 BABY TOILETRIES                7891010032906     72 N     20091106T1315  A      
7737001260012 90413                J'S BABY SABONETE H DO SONO 72X80G BIL                                 JOHNSON'S BABY                 BABY TOILETRIES                7891010781668     72 N     20091106T1315  A      
7737001260012 90438                LISTERINE ZERO MENTA SUAVE 12X250ML                                    LISTERINE                      CHC                            7891010619442     12 N     20161114T1117  A      
7737001260012 90439                LISTERINE ZERO MENTA SUAVE 12X500ML                                    LISTERINE                      CHC                            7891010619459     12 N     20161021T1608  A      
7737001260012 90448                C&C JABON FAC.PUNTOS N.12X80                                           CLEAN & CLEAR                  BEAUTY                         7891010692292     12 N     20110916T1124  A      
7737001260012 90453                C&C JABON 12X80 G                                                      CLEAN & CLEAR                  BEAUTY                         7891010039097     12 N     20091113T1322  A      
7737001260012 90455                JB JABON DE GLICERINA 24 X 80G                                         JOHNSON'S BABY                 BABY TOILETRIES                7891010035976     72 N     20110916T1124  A      
7737001260012 90566                J'S BABY COND MOISTURIZER 12X200ML EXP                                 JOHNSON'S BABY                 BABY TOILETRIES                7891010804589     12 N     20100902T1147  A      
7737001260012 90579                J'S B CR PENTEAR MOISTURIZ 12X150ML EXP                                JOHNSON'S BABY                 BABY TOILETRIES                7891010804626     12 N     20110120T1602  A      
7737001260012 91001                SUNDOWN AEROSOL PROTETOR FPS30 12X                                     SUNDOWN                        BEAUTY                         7891010910013     12 N     20110909T1224  A      
7737001260012 91304                LISTERINE FRESHBURST A-SEPTICO B 250ML                                 LISTERINE                      ORAL MOUTHWASH                 7891268400052     12 N     20090715T1021  A      
7737001260012 91305                LISTERINE FRESHBURST A-SEPTICO B 500ML                                 JOHNSON'S                      ORAL MOUTHWASH                 7891010913052     12 N     20091209T1357  A      
7737001260012 91306                LISTERINE COOL MINT A-SEPTICO B 250ML                                  LISTERINE                      ORAL MOUTHWASH                 7891268400014     12 N     20090715T1021  A      
7737001260012 91475                JB COLONIA PARA ANTES DORMIR 12X100                                    BABY CARE                      BABY CARE                      7790010684200     12 N     20171023T1524  A      
7737001260012 91479                JB BAÑO LIQ PARA ANTES DORMIR 12X200                                   JOHNSON'S BABY                 BABY CARE                      7790010681667     12 N     20170814T1228  A      
7737001260012 91517                MAKEUP REMOVER CLNG TWL REFILL                                         NEUTROGENA                     BEAUTY                           70501051054      6 N     20121012T1232  A      
7737001260012 91519                SHAMPOO JOHNSON 12X200                                                 JOHNSON'S BABY                 BABY TOILETRIES                7790010915199     12 N     20100608T1147  A      
7737001260012 91520                SHAMPOO JOHNSON 12X400                                                 JOHNSON'S BABY                 BABY TOILETRIES                7790010915205     12 N     20100608T1147  A      
7737001260012 91531                SHAMPOO JOHNSON 12X750                                                 JOHNSON'S BABY                 BABY TOILETRIES                7790010915311     12 N     20100608T1147  A      
7737001260012 91532                SHAMPOO MANZAN.12X200                                                  JOHNSON'S BABY                 BABY TOILETRIES                7790010915328     12 N     20100608T1147  A      
7737001260012 91533                SHAMPOO MANZAN.12X400                                                  JOHNSON'S BABY                 BABY TOILETRIES                7790010915335     12 N     20100608T1147  A      
7737001260012 91534                SHAMPOO MANZAN.12X750                                                  JOHNSON'S BABY                 BABY TOILETRIES                7790010915342     12 N     20100608T1147  A      
7737001260012 91540                ACONDICIONADOR 12X200                                                  JOHNSON´S BABY                 BABY                           7790010915403     12 N     20140925T1443  A      
7737001260012 91541                ACONDICIONADOR 12X400                                                  JOHNSON´S BABY                 BABY TOILETRIES                7790010915410     12 N     20120515T1637  A      
7737001260012 91544                ACONDIC.MANZAN. 12X400                                                 JOHNSON´S BABY                 BABY TOILETRIES                7790010915441     12 N     20120515T1637  A      
7737001260012 91771                JOHNSON'S EXTRA HIDRATAÇÃO LOÇÃO 200ML BIL                             BABY CARE                      BABY CARE                      7891010917715     12 N     20171011T1423  A      
7737001260012 91781                JOHNSON'S EXTRA HIDRATAÇÃO SABONETE LÍQUIDO 200ML (PUMP)               BABY CARE                      BABY CARE                      7891010917814     12 N     20171011T1423  A      
7737001260012 91836                S.LIBRE NOCTURNA REGULAR LLEVE 3 PAGUE 2                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7730198004490      6 N     20090703T1430  A      
7737001260012 91841                TOALLITAS HUMEDAS MILK X 50 LL3P2                                      JOHNSON'S BABY                 BABY TOILETRIES                7730198004513      4 N     20091008T1230  A      
7737001260012 92024                NTG SUN FRESH AEROSOL FPS 30 180ML                                     NEUTROGENA                     BEAUTY                         7891010507169      6 N     20171010T1123  A      
7737001260012 92031                LISTERINE COOL MINT 250ML EXP                                          LISTERINE                      ORAL CARE                      7891010618056     12 N     20170504T1254  A      
7737001260012 92083                SUND GOLD OLEO BRONZ FPS4 12X125ML                                     SUNDOWN                        SUNCARE                        7891010505141     12 N     20100812T1616  A      
7737001260012 92108                SUND GOLD LOC MOD SOLAR FPS8 12X120ML                                  SUNDOWN                        BEAUTY                         7891010505134     12 N     20111122T0905  A      
7737001260012 92154                SUNDOWN LABIAL FPS 30 2X12X4,5G                                        SUNDOWN                        SUNCARE                        7891010013318     24 N     20121012T1232  A      
7737001260012 92155                SUND® GEL POS-SOL 12X130 GR                                            SUNDOWN                        CHC                            7891010033415     12 N     20100812T1616  A      
7737001260012 92280                PROT CAREFREE BRISA C/PERF 30X60UN                                     CAREFREE                       SANPRO INTERMENSTRUAL          7891010922801     30 N     20110601T1655  A      
7737001260012 92291                PROT CAREFREE BRISA S/PERF 30X60UN                                     CAREFREE                       SANPRO INTERMENSTRUAL          7891010922917     30 N     20110601T1655  A      
7737001260012 92322                ROC RETI A-CELLU MODEL 150 WW                                          ROC                            BEAUTY                         3574660451733     24 N     20090709T1231  A      
7737001260012 92436                S.L.SLINEA ULTRA EA 48X8                                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010026097     48 N     20110916T1124  A      
7737001260012 92483                ROC COMPL LIFT+FIX EYE ROLL-ON                                         ROC                            BEAUTY                         3574660474978      6 N     20100812T1616  A      
7737001260012 92485                ROC COMPL LIFT+FIX NIGHT CR 50                                         ROC                            BEAUTY                         3574660475074      6 N     20100812T1616  A      
7737001260012 92549                ABS INT OB SUPER 20X20UN - EXP 25% DTO                                 OB                             SANPRO INTERMENSTRUAL          7730198004483     20 N     20090703T0956  A      
7737001260012 92552                ABS INT OB MINI 40X10UN 25% DTO                                        OB                             SANPRO INTERMENSTRUAL          7730198004469     40 N     20090703T0956  A      
7737001260012 92553                ABS INT OB MEDIO HELIX 20X20UN 25% DTO                                 OB                             SANPRO INTERMENSTRUAL          7730198004476     20 N     20090703T0956  A      
7737001260012 92555                ESC J&J REACH ECO ESSENCIAL MD 12UN EXP                                JOHNSON'S                      ORAL TOOTHBRUSHES              7891010925550     12 N     20100330T1713  A      
7737001260012 92556                CAREFREE TEEN S/P EG 30 X 40                                           CAREFREE                       SANPRO INTERMENSTRUAL          7790010925563     30 N     20100727T1204  A      
